eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/n_updates,train/loss,train/clip_range,train/approx_kl,train/learning_rate,train/explained_variance,train/entropy_loss,train/clip_fraction,train/value_loss,train/policy_gradient_loss
443.0,713.9484026686507,966000,,,,,,3.345020294189453,4710,5.152043342590332,0.2,0.24688603,0.0003,0.8894621282815933,-5.124305176734924,0.50185546875,49.990437706559895,0.017031411320203915
312.6,553.2726991416224,967000,,,,,,,,,,,,,,,,
,,967152,329.03,27,29955,399,618.05576861,,,,,,,,,,,
362.2,623.0505105839177,968000,,,,,,3.376896858215332,4720,6.43765926361084,0.2,0.15503892,0.0003,0.8754692450165749,-5.11580220758915,0.49189453125,75.48629759252071,0.04212562043394428
314.0,561.5453936237587,969000,,,,,,,,,,,,,,,,
,,969200,336.0,27,30034,400,628.2628610900001,,,,,,,,,,,
300.6,527.4182291344492,970000,,,,,,3.404120922088623,4730,8.316178321838379,0.2,0.44302386,0.0003,0.8729172497987747,-5.133499146997929,0.56796875,67.48079746067523,0.0782609434943879
352.0,600.535985450814,971000,,,,,,,,,,,,,,,,
,,971248,347.79,27,30111,401,646.02353279,,,,,,,,,,,
322.6,565.5389483782608,972000,,,,,,3.465111017227173,4740,8.316862106323242,0.2,0.15174353,0.0003,0.9115028232336044,-5.161062757670879,0.49091796875,65.22401086986065,0.029067608120385557
355.6,597.1623208845107,973000,,,,,,,,,,,,,,,,
,,973296,341.12,27,30186,402,629.91251131,,,,,,,,,,,
372.6,615.6041660538024,974000,,,,,,3.4377784729003906,4750,3.520664691925049,0.2,0.11455312,0.0003,0.8979713842272758,-5.176160064339638,0.476318359375,61.809060513973236,0.018684415624011307
380.2,640.3755696464032,975000,,,,,,,,,,,,,,,,
,,975344,348.11,27,30268,403,635.99089883,,,,,,,,,,,
334.6,572.4461334267456,976000,,,,,,3.5238451957702637,4760,6.178905487060547,0.2,0.20296267,0.0003,0.9439041092991829,-5.197697189450264,0.54658203125,24.703291437774897,0.02100466632109601
355.8,627.3238535777593,977000,,,,,,,,,,,,,,,,
,,977392,343.61,27,30347,404,625.28621898,,,,,,,,,,,
286.8,507.1803006329304,978000,,,,,,3.524479389190674,4770,1.7641103267669678,0.2,0.33050355,0.0003,0.9258188232779503,-5.204861323535442,0.572705078125,57.55120484381914,0.032559667128953154
328.8,568.9172198521112,979000,,,,,,,,,,,,,,,,
,,979440,345.03,27,30423,405,619.81271983,,,,,,,,,,,
276.6,527.6349341471462,980000,,,,,,3.5461676120758057,4780,14.32226848602295,0.2,0.30934834,0.0003,0.8222039341926575,-5.213673928380013,0.557421875,145.60621212422848,0.03605845201236661
316.0,558.5596345213416,981000,,,,,,,,,,,,,,,,
,,981488,347.63,27,30497,406,621.0722608,,,,,,,,,,,
