train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,train/learning_rate,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
-42.38737487792969,28857,0.05411946773529053,28958,0.0003,16,364,96.05,96.19659999,1.1640821695327759,-0.146499365568161,1742,,
-40.15043258666992,28899,0.05413924902677536,29000,0.0003,,,,,0.9230114221572876,-0.5179324746131897,,309.4,318.61748591662433
-45.060890197753906,29312,0.05668316036462784,29413,0.0003,16,368,97.59,98.11554059999999,1.6905115842819214,-0.39974454045295715,1782,,
-44.807159423828125,29707,0.05640497803688049,29808,0.0003,16,372,97.47,97.20872908,1.053292989730835,0.10526347905397415,1798,,
-44.17827606201172,29899,0.056608691811561584,30000,0.0003,,,,,1.4573930501937866,0.012037813663482666,,285.0,320.0300436676927
-42.41427230834961,30224,0.0568593367934227,30325,0.0003,16,376,99.52,98.73923864,1.710984468460083,0.21747583150863647,1840,,
-45.087547302246094,30593,0.05727159231901169,30694,0.0003,16,380,99.73,99.05903569,1.1784218549728394,-0.5680117607116699,1855,,
-43.31809616088867,30899,0.05765286460518837,31000,0.0003,,,,,1.134335994720459,-0.22889024019241333,,285.0,315.9548680271935
-44.72928237915039,31023,0.058199625462293625,31124,0.0003,16,384,100.48,99.74696951999998,1.5713706016540527,0.07516902685165405,1894,,
-46.627647399902344,31427,0.059045691043138504,31528,0.0003,16,388,101.23,100.45400671000002,1.0923271179199219,-0.0044748783111572266,1910,,
-47.331016540527344,31764,0.06068921461701393,31865,0.0003,16,392,101.13,100.36934465,1.5506460666656494,-0.6583345532417297,1925,,
-44.961822509765625,31899,0.060950614511966705,32000,0.0003,,,,,2.2544572353363037,-0.611869752407074,,262.6,284.0384511600314
-47.075225830078125,32231,0.06217092648148537,32332,0.0003,16,396,102.62,101.95478431999996,1.6009503602981567,0.6951144933700562,1963,,
-45.540462493896484,32650,0.0634569451212883,32751,0.0003,16,400,103.3,102.28926729000003,1.3530793190002441,-0.44011354446411133,1980,,
-49.67047882080078,32899,0.06455349177122116,33000,0.0003,,,,,2.631054639816284,-0.4739069938659668,,274.6,278.4426509442648
-47.045433044433594,33045,0.06427235901355743,33146,0.0003,16,404,103.85,102.30341959000002,1.1274657249450684,0.1502598375082016,2017,,
