eval/mean_reward,time/total_timesteps,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/std
-3.6463844420424723,172000,161.0,,,,,,830,0.6442323327064514,-0.011692044026858639,0.2,0.374853515625,4.697437918931246,0.1745576,-3.1704600617289542,0.0003,1.2375783920288086,1.1818079948425293
-5.20866625417184,173000,161.0,,,,,,,,,,,,,,,,
,173440,,-7.75348091,30,163.48,2126,28,,,,,,,,,,,
-2.20544497407609,174000,161.0,,,,,,840,0.7331138253211975,-0.022052181177423337,0.2,0.39677734375,4.53996652327478,0.05485683,-3.1664321191608904,0.0003,2.541656732559204,1.1668742895126343
-2.7421243894328655,175000,161.0,,,,,,,,,,,,,,,,
,175488,,-8.235858630000001,31,165.16,2194,28,,,,,,,,,,,
-1.994735311534896,176000,161.0,,,,,,850,0.6288031041622162,-0.00835756512824446,0.2,0.431494140625,3.756950230151415,0.06758072,-3.1574349403381348,0.0003,0.6366066336631775,1.1679514646530151
-3.0781755635005537,177000,161.0,,,,,,,,,,,,,,,,
,177536,,-6.99147089,32,163.32,2263,28,,,,,,,,,,,
-3.6619330688314222,178000,161.0,,,,,,860,0.6063573062419891,-0.02141126311616972,0.2,0.398828125,2.6931787490844727,0.07527284,-3.1366488210856915,0.0003,0.4509935677051544,1.1481188535690308
-2.869792210138985,179000,161.0,,,,,,,,,,,,,,,,
,179584,,-6.13031441,33,163.23,2330,28,,,,,,,,,,,
-2.9759129012949415,180000,160.8,,,,,,870,0.5978953540325165,-0.03312797873513773,0.2,0.38974609375,1.7239282705821097,0.067494184,-3.108040560781956,0.0003,0.3625493347644806,1.1306097507476807
-2.099824380112841,181000,161.0,,,,,,,,,,,,,,,,
,181632,,-6.10549129,34,163.22,2398,29,,,,,,,,,,,
0.2297627689804358,182000,161.0,,,,,,880,0.6991136372089386,-0.03119313821371179,0.2,0.4220703125,1.8315537405200302,0.08224413,-3.072626129537821,0.0003,0.5105012655258179,1.110886573791504
0.25479205029987495,183000,161.0,,,,,,,,,,,,,,,,
,183680,,-6.059111240000001,35,163.47,2466,29,,,,,,,,,,,
-1.3718730835607857,184000,161.0,,,,,,890,0.6993260383605957,-0.042864827415905894,0.2,0.421533203125,1.1905837490223348,0.10635159,-3.034585923701525,0.0003,0.1953354924917221,1.0890297889709473
-0.5238746541021101,185000,161.0,,,,,,,,,,,,,,,,
,185728,,-4.601280900000001,36,163.21,2533,29,,,,,,,,,,,
-0.5570269682029902,186000,161.0,,,,,,900,0.7427854537963867,-0.043629046238493174,0.2,0.441162109375,0.8735132111236453,0.10123292,-2.9738752797245978,0.0003,0.054748907685279846,1.0496448278427124
1.5943473369421555,187000,161.0,,,,,,,,,,,,,,,,
,187776,,-4.6138423799999995,37,164.83,2601,29,,,,,,,,,,,
-1.1388903216990003,188000,161.0,,,,,,910,0.6402014195919037,-0.04427185566164553,0.2,0.409716796875,1.2144583515357226,0.08931763,-2.920451392233372,0.0003,0.15009723603725433,1.0279591083526611
-0.9308600014526747,189000,161.0,,,,,,,,,,,,,,,,
,189824,,-4.63924427,38,164.83,2670,29,,,,,,,,,,,
-2.5861266189298475,190000,161.0,,,,,,920,0.6103250682353973,-0.05109797003678977,0.2,0.452392578125,1.0550055219326169,0.13333926,-2.8746300719678404,0.0003,0.05976641923189163,0.9994049072265625
-6.4431995023835045,191000,161.0,,,,,,,,,,,,,,,,
,191872,,-4.609458559999999,39,163.23,2738,29,,,,,,,,,,,
-4.851855884475663,192000,160.8,,,,,,930,0.78268201649189,-0.04467796332319267,0.2,0.458935546875,0.9079694781452418,0.11049512,-2.815455373376608,0.0003,0.02160385251045227,0.9709713459014893
-7.112441693420988,193000,161.0,,,,,,,,,,,,,,,,
,193920,,-4.48538818,40,164.82,2805,29,,,,,,,,,,,
-2.8297229228073775,194000,161.0,,,,,,940,0.5832755863666534,-0.039147382439114156,0.2,0.4888671875,1.4736153383739292,0.16316877,-2.7679984785616396,0.0003,0.07111505419015884,0.9530566930770874
-3.8424464335701485,195000,161.0,,,,,,,,,,,,,,,,
,195968,,-4.75508099,41,164.81,2874,29,,,,,,,,,,,
-3.332358232251136,196000,161.2,,,,,,950,0.6654931604862213,-0.053091588566894644,0.2,0.506982421875,0.8420213370583951,0.17253295,-2.7310914851725103,0.0003,0.09396251291036606,0.9299566745758057
-4.547517123203579,197000,161.0,,,,,,,,,,,,,,,,
-1.9882315277041926,198000,161.0,,,,,,,,,,,,,,,,
