time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/explained_variance,train/value_loss,train/policy_gradient_loss
138000,297.92718761988726,244.8,,,,,,19.707569122314453,0.410205078125,670,0.2,-2.6613359726965427,0.0003,0.07200593,0.9185894727706909,0.7478031814098358,19.74117329530418,-0.0068341517879161985
139000,288.70161023858816,249.8,,,,,,,,,,,,,,,,
139264,,,68,29,4711,59.71628655000001,137.73,,,,,,,,,,,
140000,346.2747577108923,258.8,,,,,,4.069204330444336,0.429931640625,680,0.2,-2.6667215555906294,0.0003,0.14921916,0.9203886985778809,0.7217812240123749,23.437128169834615,0.003560364025179297
141000,331.38136704675344,258.2,,,,,,,,,,,,,,,,
141312,,,69,29,4785,74.73669898999998,141.17,,,,,,,,,,,
142000,297.6130239192207,238.2,,,,,,1.7317878007888794,0.4591796875,690,0.2,-2.668601331114769,0.0003,0.05954146,0.9190515279769897,0.8718289732933044,22.94238132685423,0.0031602284376276656
143000,357.919480844069,265.4,,,,,,,,,,,,,,,,
143360,,,70,29,4858,102.31842139999999,156.84,,,,,,,,,,,
144000,343.22890310639633,232.4,,,,,,3.607010841369629,0.41484375,700,0.2,-2.6671003252267838,0.0003,0.069302455,0.9215611219406128,0.8534820526838303,28.64921932592988,-0.014914716861676424
145000,354.9057038650382,230.4,,,,,,,,,,,,,,,,
145408,,,71,29,4928,134.55104079,172.24,,,,,,,,,,,
146000,340.62946137987745,236.4,,,,,,2.9800775051116943,0.437255859375,710,0.2,-2.670437178015709,0.0003,0.085851565,0.9203809499740601,0.840975746512413,36.23692334592342,-0.010299199022119865
147000,382.98718576017416,257.0,,,,,,,,,,,,,,,,
147456,,,72,29,5002,166.17855043999995,187.7,,,,,,,,,,,
148000,82.24972152306945,197.0,,,,,,4.19948148727417,0.444482421875,720,0.2,-2.6609918110072615,0.0003,0.12679888,0.9159522652626038,0.8661799728870392,37.00835888981819,-0.007812896552786696
149000,46.13769814515399,187.0,,,,,,,,,,,,,,,,
149504,,,73,29,5072,176.76792923000002,199.96,,,,,,,,,,,
150000,97.06221711745384,170.2,,,,,,11.617064476013184,0.52255859375,730,0.2,-2.6607015043497086,0.0003,0.14697796,0.9210107326507568,0.5859192311763763,71.36563811302184,0.006713513359136414
