train/n_updates,time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/critic_loss,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
23256,14,-41.70628357,95.99449495,71.72,23357,420,0.48934465646743774,1598,0.0003,0.6208785772323608,0.069179907,,
23702,14,-42.98136139,96.11227357,74.45,23803,424,0.5209963321685791,1616,0.0003,0.3529181182384491,0.069857299,,
23899,,-41.43162155,,,24000,,0.5752609968185425,,0.0003,0.24726662039756775,0.070110187,177.4,182.33281866030012
24152,14,-43.31941223,97.94386475000002,76.92,24253,428,0.5063377022743225,1651,0.0003,0.1689087152481079,0.069870725,,
24522,14,-44.02632523,98.66001366,78.96,24623,432,0.5937483310699463,1666,0.0003,0.12533289194107056,0.069921687,,
24899,,-41.81438446,,,25000,,0.5116126537322998,,0.0003,0.048946004,0.070216417,181.8,175.9290447623949
24992,14,-42.41119385,101.15975874000002,81.71,25093,436,0.5533803105354309,1702,0.0003,-0.29555127,0.070147343,,
25400,14,-44.57132721,100.19136478000001,83.12,25501,440,0.5321691632270813,1719,0.0003,0.4679136574268341,0.070470296,,
25835,14,-46.79533386,98.78534634000002,85.23,25936,444,0.5266969203948975,1737,0.0003,-0.652805567,0.071272843,,
25899,,-45.50627899,,,26000,,0.5806554555892944,,0.0003,0.32247161865234375,0.071335033,170,142.80204513069984
26262,14,-45.82673645,99.79988416,87.42,26363,448,0.5244313478469849,1770,0.0003,-0.650681376,0.073765337,,
26567,14,-45.09605026,98.52329275,88.15,26668,452,0.5579081773757935,1784,0.0003,0.02835127,0.074395061,,
26899,,-45.20620728,,,27000,,0.5739761590957642,,0.0003,0.4607376456260681,0.074634127,186,177.03847921740453
27018,14,-46.179245,96.66095469,89,27119,456,0.6264212727546692,1819,0.0003,0.4381909966468811,0.074632615,,
27488,15,-46.21038818,97.11464414,90.87,27589,460,0.6331714391708374,1838,0.0003,-0.097463474,0.075210541,,
27899,,-46.5399971,,,28000,,0.6572916507720947,,0.0003,-0.137450755,0.075677618,179.8,166.40272008071332
27993,14,-43.24764252,96.72865899,93.06,28094,464,0.6103659868240356,1874,0.0003,0.088703901,0.075933665,,
28479,15,-46.0604248,96.94251060999999,93.64,28580,468,0.6190721988677979,1893,0.0003,-0.079286292,0.076523237,,
28870,15,-45.44141006,96.08662124,93.88,28971,472,0.595237672,1910,0.0003,0.18099690973758698,0.076761879,,
28899,,-42.78089523,,,29000,,0.6020077466964722,,0.0003,0.076858997,0.076771505,219.8,190.9152151049646
