time/episodes,train/ent_coef,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/fps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
360,0.05441815406084061,0.0003,121.91,27615,1.0912786722183228,0.5167080163955688,16,27514,-51.92974853515625,119.46240155,1711,,
,0.05491315573453903,0.0003,,28000,1.4859414100646973,0.47903770208358765,,27899,-50.66473388671875,,,312.60280868939844,277.8
364,0.05445181950926781,0.0003,122.08,28123,1.7731906175613403,-0.48354533314704895,16,28022,-50.35581970214844,120.22241190000001,1752,,
368,0.054301731288433075,0.0003,122.46,28615,1.4815783500671387,0.4363449811935425,16,28514,-51.56069564819336,120.96371949,1771,,
,0.05342167615890503,0.0003,,29000,1.3225113153457642,0.34995630383491516,,28899,-50.87442398071289,,,336.4666116708049,281.0
372,0.05361892282962799,0.0003,122.62,29123,1.1060798168182373,-0.04521302878856659,16,29022,-52.8692626953125,121.87472975,1811,,
376,0.05421603098511696,0.0003,122.43,29613,1.2517266273498535,0.41640597581863403,16,29512,-51.001487731933594,122.61942116,1830,,
,0.0540270134806633,0.0003,,30000,1.598233938217163,0.7196525931358337,,29899,-49.61293029785156,,,324.9126680294859,280.4
380,0.05401662364602089,0.0003,122.62,30123,1.260657787322998,-0.02052690088748932,16,30022,-51.48597717285156,123.75998881999998,1871,,
384,0.05478271469473839,0.0003,122.48,30616,1.1883115768432617,-0.18834249675273895,16,30515,-53.30603790283203,124.34334366000002,1890,,
,0.05531524494290352,0.0003,,31000,1.7471891641616821,-0.22306571900844574,,30899,-51.231712341308594,,,341.1075117693388,278.0
388,0.05533716455101967,0.0003,122.09,31068,1.9796483516693115,-1.0638624429702759,16,30967,-53.96212387084961,124.86073208000002,1929,,
392,0.05518953502178192,0.0003,122.09,31578,1.2691540718078613,0.35118699073791504,16,31477,-55.40763854980469,125.41616975999999,1949,,
,0.05605178326368332,0.0003,,32000,1.0582942962646484,-0.2996249496936798,,31899,-45.998023986816406,,,312.75292751070884,276.0
396,0.05590106174349785,0.0003,123.27,32123,5.151313781738281,-0.9935541749000549,16,32022,-52.59377670288086,127.40227334,1990,,
400,0.055901288986206055,0.0003,122.47,32614,1.5843127965927124,0.60471111536026,16,32513,-52.743221282958984,126.72170650000002,2009,,
,0.056545440107584,0.0003,,33000,1.3540799617767334,0.16721996665000916,,32899,-51.94097900390625,,,298.82402460169396,268.4
404,0.05695721507072449,0.0003,122.65,33123,0.9569500684738159,0.5766865015029907,16,33022,-47.84763717651367,127.66726260000002,2049,,
408,0.05645076185464859,0.0003,123.09,33615,1.3981435298919678,-0.19284749031066895,16,33514,-47.40536117553711,128.4119563,2068,,
412,0.05559416487812996,0.0003,123.05,33969,2.3274154663085938,0.41814181208610535,16,33868,-51.807247161865234,128.42653678,2083,,
,0.055686067789793015,0.0003,,34000,1.9780771732330322,0.14535243809223175,,33899,-51.917503356933594,,,345.94629507469944,280.2
416,0.05561699718236923,0.0003,123.74,34498,1.6930358409881592,-0.08801327645778656,16,34397,-55.568809509277344,128.95663186,2124,,
420,0.05643679201602936,0.0003,123.9,34954,1.162410855293274,0.1031775027513504,16,34853,-49.86022186279297,129.16971827999998,2142,,
,0.05664602294564247,0.0003,,35000,1.6840918064117432,0.3277773857116699,,34899,-53.021705627441406,,,307.67824116167793,272.0
424,0.05653391405940056,0.0003,123.09,35431,1.7161626815795898,-0.8655363321304321,16,35330,-55.88648986816406,128.96784049000001,2182,,
428,0.05669080838561058,0.0003,123.08,35921,2.097158670425415,-0.30741560459136963,16,35820,-54.76280212402344,128.95036861,2201,,
,0.05684508755803108,0.0003,,36000,2.1725382804870605,-0.8252170085906982,,35899,-54.16526794433594,,,323.2643296024009,277.2
432,0.057372450828552246,0.0003,123.68,36491,1.8735802173614502,-0.12580916285514832,16,36390,-50.45951843261719,129.45423555000002,2243,,
436,0.05710776522755623,0.0003,124.27,36982,1.1762982606887817,-0.22771748900413513,16,36881,-52.231571197509766,129.56998104000002,2262,,
,0.057054199278354645,0.0003,,37000,1.5534495115280151,-0.3445550203323364,,36899,-52.045570373535156,,,332.0249031484549,276.8
440,0.05780646950006485,0.0003,125.53,37676,1.429980993270874,-0.9694188833236694,16,37575,-54.79744338989258,130.4680089,2307,,
,0.05767318233847618,0.0003,,38000,5.503506183624268,0.5974209904670715,,37899,-49.895111083984375,,,345.5374758350583,277.6
444,0.05757126957178116,0.0003,126.02,38216,1.5990294218063354,-0.10966745764017105,16,38115,-49.30157470703125,131.82461593000002,2349,,
448,0.05801065266132355,0.0003,126.72,38732,1.9441204071044922,0.477093905210495,16,38631,-51.3731575012207,132.04643354,2368,,
,0.05735565721988678,0.0003,,39000,1.7442350387573242,-0.7984275221824646,,38899,-54.09939956665039,,,329.603229768193,278.2
452,0.05938286334276199,0.0003,128.18,39369,1.5018832683563232,-0.3788582682609558,16,39268,-50.99528121948242,134.11284574,2413,,
456,0.05973093956708908,0.0003,126.33,39756,1.3498616218566895,0.5937014818191528,16,39655,-51.73954772949219,132.66519868,2428,,
,0.05989856272935867,0.0003,,40000,2.837864398956299,0.712023913860321,,39899,-50.74203872680664,,,419.07463488455835,374.6
460,0.06010079011321068,0.0003,125.76,40191,1.6480021476745605,0.9456312656402588,16,40090,-53.85595703125,132.6098255,2472,,
464,0.060476839542388916,0.0003,125.6,40683,1.8644673824310303,0.20244595408439636,16,40582,-50.971405029296875,133.11303481000002,2491,,
,0.059945520013570786,0.0003,,41000,2.1929941177368164,-0.31822019815444946,,40899,-52.239112854003906,,,340.2590657155026,277.2
468,0.06003130227327347,0.0003,125.56,41171,1.8596396446228027,0.28902462124824524,16,41070,-50.55988311767578,133.73840327,2531,,
472,0.059917256236076355,0.0003,124.81,41604,1.0281939506530762,-0.3719762861728668,16,41503,-50.17372131347656,133.88658199999998,2548,,
,0.05975526571273804,0.0003,,42000,1.5108872652053833,0.20560035109519958,,41899,-50.94916534423828,,,331.2805716271956,277.0
476,0.05951496586203575,0.0003,125.1,42123,2.283717393875122,0.14949756860733032,16,42022,-53.911067962646484,134.54797460999998,2589,,
480,0.05931689590215683,0.0003,124.51,42574,1.6787805557250977,-0.24686764180660248,16,42473,-50.95814514160156,134.10774553999997,2606,,
,0.05836450681090355,0.0003,,43000,2.1212949752807617,-0.22774016857147217,,42899,-52.790367126464844,,,316.34176847012276,271.8
484,0.057809557765722275,0.0003,125.07,43123,2.2712206840515137,0.05903342366218567,16,43022,-54.685142517089844,134.78552468,2648,,
488,0.05720284581184387,0.0003,125.47,43615,1.7771296501159668,0.36647453904151917,16,43514,-53.49668884277344,135.13026282999996,2667,,
,0.057449787855148315,0.0003,,44000,1.8768975734710693,0.2482321560382843,,43899,-50.03021240234375,,,329.97805501032855,274.6
492,0.057277970016002655,0.0003,125.44,44122,1.441792607307434,0.9888443946838379,16,44021,-51.75652313232422,135.02897424,2707,,
496,0.05746692419052124,0.0003,124.92,44615,2.2632248401641846,-0.3445127010345459,16,44514,-52.35460662841797,134.12421931999998,2726,,
,0.057527102530002594,0.0003,,45000,1.4319977760314941,0.17129194736480713,,44899,-53.35993576049805,,,322.3627522206596,274.8
